Smoothed X1	Smoothed Y1	
1	-110.631010999903
2	-136.205490777973
3	-132.934684438231
4	-130.495665292787
5	-116.503769971482
6	-99.6081588077521
7	-84.1646095999074
8	-71.7584237089211
9	-59.9358005997809
10	-48.4799744724889
11	-40.4665191088888
12	-34.2400835271247
13	-24.9761039635336
14	-19.0521292363039
15	-13.0188474726948
16	-13.4174589454112
17	-10.8802378726954
18	-7.43843152726238
19	-5.14993469091978
20	-7.93122163638472
21	-5.27448703639886
22	-2.26572676365348
23	-1.97792823636396
24	-1.69437478181313
25	-1.26779005456376
26	-5.14352392730387
27	-7.6438436364247
28	-10.6461206182499
29	-13.3757165455344
30	-14.1675335637209
31	-8.90404827283187
32	-6.44474590918556
33	-10.809372400086
34	-17.7564430909739
35	-26.6731879272921
36	-36.3325915272263
37	-44.6854160544547
38	-49.2800253089856
39	-55.4720874180848
40	-62.7805532362651
41	-70.4764459090138
42	-81.9816201090135
43	-92.7679845817387
44	-94.3018543271856
45	-88.7785587635569
46	-85.8503647453744
47	-81.1877556181428
48	-77.1774623636495
49	-76.6415593818507
50	-77.0696137455038
51	-78.9057130364532
52	-85.886939236454
53	-89.0614880728112
54	-92.8463553637266
55	-100.231937763738
56	-103.375731672821
57	-102.079049818285
58	-103.106191436472
59	-103.606815654649
60	-99.6038960728456
61	-97.49885827286
62	-91.9992668728598
63	-80.483729127422
64	-67.431730291078
65	-61.1514728001573
66	-57.5079255092212
67	-56.5974844001233
68	-58.4061387819322
69	-60.8694831637496
70	-58.031246709214
71	-53.976809418303
72	-47.0178797819059
73	-41.9650472363965
74	-39.8471374181522
75	-41.9009733998978
76	-39.3433755998584
77	-37.0510267998346
78	-38.5121113270859
79	-37.6019103088839
80	-37.4178361088376
81	-43.5602318542586
82	-53.5483386360786
83	-62.0208861815658
84	-74.5039793816141
85	-83.0037029089575
86	-89.8167765453796
87	-96.1320241272449
88	-101.870303927294
89	-106.619896400043
90	-112.2560920546
91	-116.75408109098
92	-119.078627400066
93	-117.750167763673
94	-115.347795909101
95	-110.20816721818
96	-105.896333436363
97	-102.810081054575
98	-100.859897181866
99	-98.2129795818843
100	-95.0225246728144
101	-93.3274823819033
102	-92.1018024546179
103	-91.9775808727876
104	-91.4377614000643
105	-94.6430072546344
106	-92.9029924910177
107	-89.8644208182665
108	-83.5640464545989
109	-77.7116702909158
110	-71.8743763999505
111	-67.0822759453546
112	-60.6367256544191
113	-53.9763924544169
114	-50.5677991816943
115	-52.1134136544032
116	-52.3609602725641
117	-55.8925279270857
118	-62.5624783634462
119	-69.8296549270776
120	-72.544445799833
121	-75.9901269816878
122	-81.7946200181137
123	-85.7636481636288
124	-89.9617379273203
125	-89.9096766182645
126	-88.8100043637509
127	-81.9263249455866
128	-78.5812804183161
129	-73.0271422001448
130	-67.6524458365345
131	-64.2633142001927
132	-61.7971236002039
133	-54.9288450547579
134	-51.9508875820447
135	-50.4689714729447
136	-49.0578297456557
137	-48.8081084911119
138	-55.709182254733
139	-59.1294099456207
140	-64.7878049819646
141	-73.696579200131
142	-82.7581729819151
143	-88.4028379455209
144	-92.7110722545873
145	-94.1382409272885
146	-94.9671249999919
147	-98.2754469090903
148	-101.546191109073
149	-105.509742418135
150	-110.018685945394
151	-111.176824618097
152	-107.364002727141
153	-102.259861908955
154	-95.0264802907678
155	-88.1011688543653
156	-84.9297316907143
157	-81.6601256543601
158	-76.9210138907148
159	-70.6093270543624
160	-67.9572106543928
161	-62.4222384180535
162	-59.8208811635321
163	-60.2073983999138
164	-64.6835718362846
165	-67.619327272678
166	-74.1804932727055
167	-74.9571424181488
168	-75.3648771453987
169	-76.1644870908423
170	-83.9277623089877
171	-85.9863064544106
172	-94.4890239634974
173	-101.103507618064
174	-105.161209708994
175	-101.783168781752
176	-102.14903092723
177	-98.1708896181461
178	-96.2591319090602
179	-93.7779063090682
180	-86.7895991999656
