Smoothed X1	Smoothed Y1	
1	29.7225328162313
2	27.8384093578077
3	25.9284056992581
4	24.0119319909563
5	22.0760481325289
6	20.1207541243484
7	18.1460499664148
8	16.1519356586039
9	14.1384112007916
10	11.7519349722813
11	8.68806722735365
12	5.450900826479
13	2.72953876294196
14	0.343330747758349
15	-1.64578086982171
16	-2.52641906750699
17	-2.7196718433251
18	-2.40123007856309
19	-1.24481307615836
20	-0.143910657862822
21	1.03107736743987
22	2.76599481639763
23	3.17148627229035
24	3.4317681286484
25	4.85065291362504
26	5.86791107120613
27	7.04106321707368
28	8.71196071021259
29	10.053609340017
30	10.1384068140139
31	10.3239777692904
32	8.62703128668169
33	6.40330923025807
34	3.14356870278716
35	0.646657847613096
36	-1.05712168353299
37	-1.48125283631186
38	-0.806352626656492
39	0.0747860922167702
40	0.354521555453539
41	-0.0353241040060914
42	-0.448043904453516
43	-0.867831207687656
44	0.353588411211968
45	2.64488807519277
46	4.20354905041556
47	6.3427931026866
48	7.75802382007241
49	7.64126166229447
50	6.80347198049227
51	6.95041587948799
52	5.86255218374232
53	5.43092136594156
54	6.30103573364516
55	7.87683901960651
56	9.38910622571905
57	10.5206112764776
58	11.4633924232175
59	11.40165234978
60	10.1386124640703
61	7.72581944217284
62	5.16354015804827
63	2.57968533833821
64	-0.595519095410905
65	-3.61471821280817
66	-7.32480706907809
67	-9.62302135142187
68	-12.2556005910039
69	-13.8015492830426
70	-14.5937753610313
71	-13.0816886544228
72	-11.45526488175
73	-8.87195545807481
74	-5.123591386651
75	-2.26277222620944
76	-0.0463860936462905
77	2.87121334460874
78	5.33179126270115
79	5.30395806245506
80	4.96323150259753
81	4.89910846625765
82	3.7206036042422
83	2.58913927748799
84	2.43465456205109
85	2.87707844376564
86	3.48006044800082
87	4.07501320118705
88	4.28350543739895
89	5.22308392276366
90	6.32129775335391
91	6.73815707440177
92	6.34591037742793
93	5.70042815431952
94	4.23098293008903
95	1.93178018418451
96	0.365493294224139
97	-0.515833405156934
98	-2.23639188309511
99	-3.94002508670092
100	-4.29889570487043
101	-5.18604650075237
102	-6.09020167179406
103	-6.1245343019565
104	-6.13053359799087
105	-7.1425521225979
106	-7.41669661812485
107	-7.81160453520716
108	-6.7806989726921
109	-4.59341708508631
110	-1.93270660402875
111	-0.392192737013105
112	0.879210919514295
113	1.54402609542012
114	1.08425005575021
115	0.900895298024015
116	0.724089937036232
117	0.804583686341838
118	0.546264030163483
119	0.372640534490343
120	-0.957349011798703
121	-2.12958399578929
122	-2.57268552767734
123	-4.43516696430743
124	-6.90996073198816
125	-8.71498532084128
126	-9.07844074380895
127	-9.98608636061351
128	-9.29644282944501
129	-6.93571948334575
130	-4.71861116625369
131	-3.75745089265208
132	-2.88375329772632
133	-2.61375900482138
134	-4.21097642083963
135	-5.01218756549061
136	-6.23789382514854
137	-7.21591596640647
138	-7.39576845665773
139	-6.78804502698283
140	-6.40099488596122
141	-4.61446751418213
142	-3.16769631343584
143	-3.41405188081165
144	-3.90500563370685
145	-4.52775541755061
146	-5.36279837886493
147	-6.63810836200913
148	-6.75288910220067
149	-6.2569628469646
150	-5.73285857488712
151	-6.4346656087786
152	-7.19759508520365
153	-8.13666954934597
154	-9.07317724439005
155	-9.43140689395368
156	-8.78861464237174
157	-6.54476616730293
158	-3.4427320625633
159	-0.568234966198604
160	2.10615172771116
161	4.302241555353
162	4.95927045519153
163	4.46917759999633
164	4.00668006290992
165	3.62033887232343
166	3.65875963730117
167	3.27791500613093
168	3.28512177305917
169	2.68645983537038
170	1.41236920952797
171	-1.83485499806702
172	-4.261775607119
173	-6.14202310505013
174	-7.33242547338208
175	-7.78814994605879
176	-6.14592616185546
177	-4.13836517209808
178	-2.41386590388914
179	-0.368528448914488
180	1.9755233698835
181	4.89089937458436
182	7.1945838873585
183	9.5227604124695
184	11.4002074308693
185	12.0495376954476
186	11.1415924311926
187	10.1244051435341
188	8.58953374971946
189	5.70104656182229
190	2.65845391837259
191	-1.7337933536619
192	-5.74334659278393
193	-9.61237073962887
194	-13.0572981942445
195	-15.8320624668151
